1,"Syrien, Arabische Republik",141693,140926,767,113827,102892,326,8896,170,"98,4%",60,1809,111958,112018,"99,9%"
2,Irak,45036,44665,371,12735,9535,116,726,65,"81,1%",870,1539,10326,11196,"92,2%"
3,Afghanistan,41455,41298,157,4547,1175,18,387,494,"45,2%",1522,969,2056,3578,"57,5%"
4,Ungeklärt,10985,10868,117,4632,3924,11,249,8,"90,3%",171,280,4181,4352,"96,1%"
5,"Iran, Islamische Republik",8769,8652,117,1448,759,88,13,18,"54,6%",300,358,790,1090,"72,5%"
6,Albanien,6345,5673,672,21018,3,1,36,17,"0,3%",17089,3873,56,17145,"0,3%"
7,Pakistan,5224,5119,105,1445,88,3,4,10,"7,1%",886,457,102,988,"10,3%"
8,Eritrea,5054,4987,67,8815,8220,74,189,10,"95,5%",65,331,8419,8484,"99,2%"
9,"Russische Föderation",3404,3031,373,2421,75,1,14,38,"5,2%",821,1473,127,948,"13,4%"
10,Nigeria,2714,2681,33,627,16,3,8,22,"7,3%",208,373,46,254,"18,1%"
x,"Summe Top Ten",270679,267900,2779,171515,126687,641,10522,852,"80,5%",21992,11462,138061,160053,"86,3%"
x,"Herkunftsländer gesamt",309785,302209,7576,231623,129912,735,11152,1417,"61,5%",58282,30860,142481,200763,"71,0%"
